kode,kab_kota,n_odr,n_otg,n_odp,n_pdp,n_confirm,n_sembuh,n_meninggal,last_update,lat,long
35.07,KAB. MALANG,1278,64,219,88,11,4,1,2020-04-12 12:57:28,-8.2084395,"112,7468452"
35.11,KAB. BONDOWOSO,9492,27,845,2,1,0,0,2020-04-12 12:53:12,"-8,0284796","114,0265067"
35.23,KAB. TUBAN,10423,88,465,8,2,0,1,2020-04-12 12:52:26,-6.899108667900085,111.763916015625
35.16,KAB. MOJOKERTO,5000,0,270,38,0,0,0,2020-04-12 13:33:03,"-7,586911","112,420605"
35.02,KAB. PONOROGO,11361,95,333,20,6,0,0,2020-04-12 14:36:45,"-7,8756185","111,4692888"
35.18,KAB. NGANJUK,17121,359,41,18,9,0,0,2020-04-12 12:46:31,"-7,6150520","111,6670610"
35.74,KOTA PROBOLINGGO,646,40,199,3,2,0,0,2020-04-12 12:46:30,"-7,7723105","113,1664559"
35.72,KOTA BLITAR,926,13,148,2,1,1,0,2020-04-12 12:40:33,"-8,1031510","112,1626800"
35.15,KAB. SIDOARJO,626,543,408,103,31,4,4,2020-04-12 16:09:43,"-7,4338023","112,6734275"
35.29,KAB. SUMENEP,21089,13,131,0,0,0,0,2020-04-12 12:35:39,"-7,0095355","113,8495442"
35.08,KAB. LUMAJANG,2850,152,245,19,8,0,2,2020-04-12 11:30:09,"-8,1295529","113,2236942"
35.79,KOTA BATU,923,57,121,10,2,1,0,2020-04-12 10:55:59,"-7,8769031","112,4998848"
35.75,KOTA PASURUAN,625,12,61,2,2,0,1,2020-04-12 10:42:49,"-7,6514338","112,8700750"
35.29,KAB. SUMENEP,20845,13,123,0,0,0,0,2020-04-11 16:26:29,"-7,0095355","113,8495442"
35.19,KAB. MADIUN,414,352,224,6,3,1,0,2020-04-11 16:00:02,"-7,6666455","111,5912452"
35.09,KAB. JEMBER,9369,110,824,19,3,1,0,2020-04-11 15:32:26,"-8,3951516","113,6809395"
35.22,KAB. BOJONEGORO,13610,48,117,1,1,0,1,2020-04-11 14:42:46,"-7,1524790","111,8869290"
35.14,KAB. PASURUAN,283,22,78,23,10,0,0,2020-04-11 14:57:36,"-7,7514338","112,8700750"
35.28,KAB. PAMEKASAN,6933,6933,155,2,2,0,1,2020-04-11 14:24:27,"-7,1548002","113,4379637"
35.71,KOTA KEDIRI,1035,70,150,1,6,1,0,2020-04-11 14:06:15,"-7,8228400","112,0118640"
35.27,KAB. SAMPANG,10125,6,281,0,0,0,0,2020-04-11 14:03:44,"-7,1927155","113,2429293"
35.06,KAB. KEDIRI,8004,191,361,28,9,1,2,2020-04-11 15:38:12,"-7,8332959","112,1666262"
35.01,KAB. PACITAN,10674,10,462,4,1,0,0,2020-04-11 14:20:27,"-8,1318878","111,2278873"
35.05,KAB. BLITAR,759,16,575,8,1,1,0,2020-04-11 13:54:56,"-8,2814419","112,3027620"
35.03,KAB. TRENGGALEK,13939,7,662,9,1,0,0,2020-04-11 13:53:39,"-8,176848","111,610650"
35.26,KAB. BANGKALAN,13527,30,440,3,3,0,0,2020-04-11 13:50:10,"-7,0234914","112,7519820"
35.25,KAB. GRESIK,847,118,1017,80,10,1,1,2020-04-11 13:56:10,"-7,1610846","112,6220300"
35.20,KAB. MAGETAN,269,1,122,15,10,8,1,2020-04-11 13:39:27,"-7,6774309","111,3616371"
35.02,KAB. PONOROGO,11039,95,329,17,6,0,0,2020-04-11 13:33:48,"-7,8756185","111,4692888"
35.15,KAB. SIDOARJO,626,543,374,107,21,3,4,2020-04-11 14:11:54,"-7,4338023","112,6734275"
35.10,KAB. BANYUWANGI,2903,114,529,7,3,1,1,2020-04-11 13:44:21,"-8,4169235","114,3311312"
35.08,KAB. LUMAJANG,2790,132,241,16,8,0,1,2020-04-11 16:16:44,"-8,1295529","113,2236942"
35.21,KAB. NGAWI,15340,10,222,10,0,0,0,2020-04-11 13:23:29,"-7,4324690","111,2547392"
35.12,KAB. SITUBONDO,2939,100,233,26,8,4,0,2020-04-11 13:20:38,"-7,7168478","113,9278534"
35.74,KOTA PROBOLINGGO,620,40,197,4,1,0,0,2020-04-11 14:37:50,"-7,7723105","113,1664559"
